shelter,number,lat,lon
"zealand cliff (stealth site)",8,None,None
"unicio gap",3,None,None
"mount holyoke",4,None,None
"west mombasha pond, ny",2,None,None
"inn on the long trail",3,None,None
"syler bald shelter",2,None,None
"docs knob shelter",164,37.27031,-80.83615
"totts gap rd, pa",1,None,None
"hemlocks leanto",16,None,None
"mooney's motel, leighton, pa",2,None,None
"somewhere, ny",22,None,None
"nantahalia outdoor center",2,None,None
"yet another doctor's visit",16,None,None
"harper's ferry w.va.",2,None,None
"us302/crawford notch",10,None,None
"mt. kathahdin, maine",5,None,None
"moose hill shelter",57,None,None
"big mountain c/s,va",2,None,None
"waywanda shelter",2,None,None
"up the next hill",1,None,None
"storer college campus",2,None,None
"saddle of old blue mtn",110,None,None
"rustys hard time hollow",20,None,None
"smarts mtn firetower",38,None,None
"hall mtn lt",4,None,None
"holy family hostel in pearisburg",254,None,None
"sarver's hollow shelter",8,None,None
"hudson river, bear mtn. bridge",16,None,None
"campsite at mile 630.2",14,None,None
"blue ridge gap campsite",6,None,None
"south arm rd., me",207,None,None
"dreamworld",1,None,None
"moncton",1,None,None
"southern junction of at and big bald bypass trail",4,None,None
"us4 (sherburne pass)",28,None,None
"tamogodi, pq",2,None,None
"longhouse road",14,None,None
"hiker's paradise",142,None,None
"parc frillion",1,None,None
"i never know anymore",1,None,None
"addendum: mountain lions on the at?",4,None,None
"walkin' blues",2,None,None
"about 2 miles south of the lemon squeezer",15,None,None
"shelter before stan murry",2,None,None
"north of rt 325",2,None,None
"song lyrics",2,None,None
"millbrook road, dwgnra, n.j.",1,None,None
"cable gap shelter",76,35.41523,-83.77342
"osgood tent site (tarp)",130,None,None
"garenflo fap",2,None,None
"3 miles south of south arm",2,None,None
"nidday shelter",2,None,None
"lake owassa overlook",2,None,None
"harpers ferry!!",5,None,None
"campsite near va601",2,None,None
"charles town wv",8,None,None
"bear creek gap",2,None,None
"stewart hollow brook, ct",6,None,None
"route 4, maine",8,None,None
"locus cove gap",4,None,None
"palmerton burough hall",4,None,None
"slippensburg rd.",8,None,None
"pa 325 clark’s valley",11,None,None
"spring, 34.7 miles from damascus",2,None,None
"springside campsite just past mountain moma's",2,None,None
"independence day",1,None,None
"william penn",261,40.495585,-76.414445
"trail side after gale river trail",4,None,None
"lost journal entry from mile 290",2,None,None
"us rt 7 and ct rt. 112 at housatonic river",1,None,None
"mt williams",6,None,None
"nantahala outdoor center, wesser nc",10,None,None
"campsite past wind gap",12,None,None
"button hill va714",10,None,None
"alexandra b&b",4,None,None
"hard - core",12,None,None
"duncannon pa",194,None,None
"somewhere on the at, i hope",4,None,None
"mystery mountain",21,None,None
"iron mnt. shelter",1,None,None
"hiker’s paradise",10,None,None
"ct hwy 341",6,None,None
"hemlocks lean-to shelter",3,None,None
"game land road campsite",13,None,None
"my couch",36,None,None
"neels gfap hostle",2,None,None
"tn senior games",2,None,None
"blueberry patch hiawassee",2,None,None
"3 miles past wind gap",4,None,None
"another zero!",6,None,None
"the doctor's office",6,None,None
"statton, me",6,None,None
"beckley, wv",6,None,None
"campsite at virginia mile 18.6",2,None,None
"limestone spring leanto",4,None,None
"standing bear inn",2,None,None
"chedah bald",2,None,None
"woods near tiorati park",8,None,None
"tent, downriver canoe co campground",4,None,None
"south of buena vista",6,None,None
"rich mtn firetower 3600' 10 am",40,None,None
"the cabin - andover",12,None,None
"manassas gap shelter",385,38.93071,-78.03269
"rte 201, caratunk",8,None,None
"at mile 1675.2 at a road in the woods",8,None,None
"crawford pond campsite",6,None,None
"standing bear holster",2,None,None
"just before the whites",4,None,None
"cornelius shelter",18,None,None
"reeds gap",216,None,None
"close to millbrook road",12,None,None
"armstrong brook campground, carlton park",4,None,None
"jim and molly denter shelter",8,None,None
"dahlonghea, ga",12,None,None
"ann arbor shelter",17,None,None
"somewhere on surebridge mt.",2,None,None
"annie's dorm room/dartmoth college",4,None,None
"how far can you hike????",80,None,None
"hog back shelter",10,None,None
"day 5: near sassafrass gap, ga",1,None,None
"damascus ,va",2,None,None
"clife side inn, harper's ferry",2,None,None
"junction with delps trail",2,None,None
"beyond harveys knob overlook",2,None,None
"fort royal, va, quality inn",32,None,None
"mt. wilcox north lean to",38,None,None
"penn-mar county park",5,None,None
"boston",277,None,None
"dennytown group campsite",32,None,None
"logan brooks lean-to",12,None,None
"betty and herbie's house",18,None,None
"sole searching & the race is on!",2,None,None
"maine rt.17 (andover, me)",6,None,None
"bake oven camp",4,None,None
"close to dennis cove rd",34,None,None
"albuquerque airport",1,None,None
"mountain harbour bed and breakfast",4,None,None
"saddle after old blue",10,None,None
"stuart hollow brook lean-to",20,None,None
"rte 19e",39,None,None
"oceanside",4,None,None
"sweezy camp",4,None,None
"personal entry",4,None,None
"highway 103",2,None,None
"zion episcopal hostel; manchester ctr",8,None,None
"trail side camping gragton notch,me",12,None,None
"clarence fahnestok state park",14,None,None
"le petit sault",4,None,None
"sugar loaf gap",4,None,None
"just after dickle branch shelter",2,None,None
"woods' hole nr sugar run",2,None,None
"begin within...",4,None,None
"230 hostel",28,None,None
"tentsite on ridge 1 mile south of terrapin creek",2,None,None
"zeeland falls hut",2,None,None
"bearfense mt. hut",4,None,None
"day 204: 21.3 miles to outerbridge shelter",3,None,None
"pass mtn hut",168,None,None
"campsite just past vacated house",2,None,None
"hwy 302",2,None,None
"conway, ar",14,None,None
"south arm rd, andover me",77,None,None
"us 501 (glasgow)",8,None,None
"hertlin campsite",25,None,None
"south ann rd",2,None,None
"skyline drive 66.7",18,None,None
"a one month reflection and some ideas",1,None,None
"mood shifts",4,None,None
"glastenbury mountain firetower",11,None,None
"ruiseau creaux",2,None,None
"the toilet",6,None,None
"auburn, mass ramada inn",2,None,None
"madison spring hut",976,44.327842,-71.283795
"pine grove furnace st. park",12,None,None
"moosilauki mountain",4,None,None
"north of groundhog trail, va",4,None,None
"field north of pawling",18,None,None
"iron master’s mansion hostel",14,None,None
"stewart hollow brook lean -to",4,None,None
"atkins village motel",2,None,None
"greylock/birdcage",1,None,None
"i-81 and 11",4,None,None
"possibly a mile after garenflo gap",1,None,None
"on the road headed north...!!",5,None,None
"grandpa lou & peg's",1,None,None
"dicks creek gap (hiawassee,ga.)",4,None,None
"kincora hiker hostel",159,None,None
"upper goose pnd amc cabin",10,None,None
"parking lot on skyline drive",2,None,None
"kathadin stream campground (tenting)",32,None,None
"rt.9 peekskill ny",1,None,None
"route 23 - ranger station",1,None,None
"kentucky",10,None,None
"mountain hourbor hostel",68,None,None
"bear mt bridge",10,None,None
"rock spring overhang",2,None,None
"palmerston, pa",2,None,None
"mt cube north summit side trail",4,None,None
"the oasis in the 100 miles wilderness",40,None,None
"horseshoe trail (stealth tenting)",4,None,None
"springer mt georgia",2,None,None
"seven devils",3,None,None
"bearfence shelter",35,None,None
"hemlock hollow shelter",10,None,None
"white rocks cliffs",4,None,None
"ga. motel",4,None,None
"dalton (birdcage)",2,None,None
"stratton, at the white wolf inn",14,None,None
"viewpoint at 1306.7",12,None,None
"flowers",2,None,None
"plumorchard gap shelter",4,34.94594,-83.58828
"campsite at the old fence line",2,None,None
"10 mile brook shelter",2,None,None
"peters mt. shelter",50,None,None
"spruce pine shelter",34,None,None
"liberty springs campsite, nh",39,None,None
"east b hill rd andover",8,None,None
"slaughter creek campsite",41,None,None
"just inside pa",2,None,None
"warwick tpke, nj",1,None,None
"holland mi",5,None,None
"justus creek (tent)",19,None,None
"fontana, nc",17,None,None
"amicolla falls",1,None,None
"flint mnt shelter",14,None,None
"wind gap / blue mtn dome",2,None,None
"1 mi. n of little gap",4,None,None
"dalhgren campsite",2,None,None
"ed garver shelter, md",2,None,None
"stratton-arlingtom road",3,None,None
"garfield ridge campsite shelter",148,44.19069,-71.60836
"gatehead hut",12,None,None
"route 20(west dover rd)",2,None,None
"birkfest",7,None,None
"here i go again!",1,None,None
"daleville va",172,None,None
"mt. kinsman trail",40,None,None
"neals gap",24,None,None
"rocky mountan shelter",18,None,None
"the cliffords' in pomfret vt",2,None,None
"camping site",4,None,None
"wapite shelter",2,None,None
"pa233",36,None,None
"days inn pa rt. 442/72",6,None,None
"casper brook falls lean-to",7,None,None
"patc hostel",4,None,None
"outlook avenue - cheshire, ma",4,None,None
"ture grit, mt. do'er & wooden sticks",2,None,None
"east flagstaff rd.,me.",6,None,None
"county rd.",10,None,None
"pine brook swamp shelter",2,None,None
"chestnut shelter",8,None,None
"the perch shelter",16,44.32446,-71.31048
"route 206 - worthington bakery",1,None,None
"general clement shelter",3,None,None
"on the trail near bellvale, ny",6,None,None
"robin larson's house",2,None,None
"albert arms trail magic",5,None,None
"iron mtn.inn",1,None,None
"five day countdown",1,None,None
"goose eye mtn (north peak)",8,None,None
"bennington...?",4,None,None
"boonesboro, md",2,None,None
"econolodge in abingdon, va",4,None,None
"vt 9 / machester, vt",2,None,None
"stealth camp near compton springs",10,None,None
"bear creek trail",2,None,None
"bigelow col campsite",2,None,None
"east mtn. retreat",6,None,None
"hidden shelter",14,None,None
"palmerton, borough hall",2,None,None
"goose creek campgrounds",3,None,None
"big bald creek campsite",4,None,None
"va.785 (four pines)",2,None,None
"update: outlook dismal",8,None,None
"pinwheel's vista",32,None,None
"springer mtn shelter",66,None,None
"pct",2,None,None
"sugarloaf mtn. summit hut",30,None,None
"plum ochard gap shelter",2,None,None
"fs road 42",6,None,None
"dundo campground, va",14,None,None
"glassmine gap",19,None,None
"katellen side trail, pa",1,None,None
"us60",29,None,None
"jarrard gap",68,None,None
"dalgren campgrounds",10,None,None
"baked oven knob shelter",12,None,None
"to get better",1,None,None
"jug end rd.",32,None,None
"hog mountain shelter",2,None,None
"barn hostel, gorham",18,None,None
"u.s. 19 - nantahala river",2,None,None
"someplace in time",3,None,None
"the hostel at harpers ferry",11,None,None
"sinking creek mountain",8,None,None
"ensign colwell shelter",2,None,None
"tentsite near hosner mtn.",14,None,None
"walasi-yi / neels gap",2,None,None
"random tent site",2,None,None
"lakes of the clouds hut/the dungeon",2,None,None
"blood mtn. shelter",7,None,None
"birds nest day use shelter",12,None,None
"rt 17a (ny)",2,None,None
"bald mt. brok lean-to",62,None,None
"dahlongea,ga.",1,None,None
"camping nr race brook falls, mass.",2,None,None
"us30 in pa",1,None,None
"over mtn victory trail",2,None,None
"campsite @ bear mountain",1,None,None
"arden ,ny",4,None,None
"cory gap",4,None,None
"jones meadow",4,None,None
"millers",14,None,None
"north georgia",2,None,None
"watauga lake shelter",359,36.31398,-82.1294
"highway 28",1,None,None
"maupins field shelter",22,None,None
"daliville va",2,None,None
"ash gap",138,None,None
"brien or west mt. shelter",2,None,None
"we turn around",1,None,None
"adkins va relax-inn",2,None,None
"cowrock mt.",5,None,None
"etalc",12,None,None
"bear spring stealth camp",2,None,None
"mull's motel- hiawassee",2,None,None
"fort montgomery at at mile 1388.6",16,None,None
"uncle johnny's nolichucky hostel",62,None,None
"fox hill inn--troutdale",2,None,None
"october mountain leanto",14,None,None
"clyde,nc",2,None,None
"near poplar ridge",2,None,None
"bromely peak warming hut",4,None,None
"swamp camp creek campsite",8,None,None
"rt 624",21,None,None
"schaghticoke mountain (tarp)",4,None,None
"thuner hill shelter",2,None,None
"tom floyd wayside shelter",0,38.85046,-78.16366
"fife & drum",4,None,None
"cornelious creek shelter",2,None,None
"dalgren's campground",4,None,None
"dickscreek gap",2,None,None
"allenton shelter",1,None,None
"cheshire, ma (st. mary's catholic church)",6,None,None
"grounhog creek shelter",3,None,None
"carver gap, tenn 143",10,None,None
"leighhigh gap",30,None,None
"rock springs shelter",4,None,None
"long falls dam rd., me",10,None,None
"campsite past dragon's tooth",8,None,None
"brinks road shelter",30,None,None
"hiawasee inn, hiawasee, ga",1,None,None
"key's gap",2,None,None
"*darth vader voice* "it is almost complete..."",1,None,None
"tray mtn rd",8,None,None
"atwell hill rd campsite",4,None,None
"boone nc",10,None,None
"hertbin campsite",4,None,None
"north thru ct",5,None,None
"white rocks mountain",28,None,None
"cave mountain",6,None,None
"ensing cowell shelter",7,None,None
"frogcaller and lew's cabin, greenville, me",18,None,None
"dazed and confused",2,None,None
"campsite 630.2",2,None,None
"menassas gap, va55",2,None,None
"relax inn - atkins",4,None,None
"camp spot just over nc border",2,None,None
"woods road (pollywog)",66,None,None
"tommy leonard shelter",2,None,None
"limestone spring campsite",18,None,None
"alex's house",23,None,None
"sandy hook ayh hostel",6,None,None
"daleville - va",30,None,None
"some thoughts i thought while thinking",2,None,None
"how we get journals",2,None,None
"dennis cove, usfs 50",14,None,None
"summit cut, va",26,None,None
"hard hiking",6,None,None
"c&o canal toe path",1,None,None
"wildcat",1012,41.268265,-74.268198
"gooches shelter",3,None,None
"walasi-yu",2,None,None
"hogpen shelter",4,None,None
"campsite, about .5 mi past buchanan mtn.",48,None,None
"mass. 23 near monterey",4,None,None
"rainbow stream lean to",35,None,None
"jarrod gap",10,None,None
"me. hwy. 26,grafton notch",225,None,None
"va606 trent's grocery",23,None,None
"another unnamed campsite",2,None,None
"some hotel, harpers ferry, wv",2,None,None
"icewater creek shelter",1,None,None
"nolichucky bridge",6,None,None
"gordon pond north of glencliff,nh",2,None,None
"baker stream - campsite",34,None,None
"european vacation, day #4",27,None,None
"new york city!?!",4,None,None
"gatlinburg, tn.",25,None,None
"locust cove gap (tent)",12,None,None
"? brook shelter",3,None,None
"us4/inn at long trail",2,None,None
"north of crigger rd, nj",2,None,None
"naples, me",3,None,None
"camped before mt. webster",13,None,None
"deleware water gap ramada inn",4,None,None
"hiawasse ga",1,None,None
"martha's vineyard, ma",32,None,None
"i 81 interchange",5,None,None
"unmarked tentsite",8,None,None
"tinker cliffs campsite",4,None,None
"grafton notch,me",2,None,None
"big spring shelter",543,None,None
"summit of standing indian",6,None,None
"rough camp, nr route 7, massachusetts",2,None,None
"underhill, vt.",24,None,None
"the challenge of the white mountains",14,None,None
"somewhere north of here",2,None,None
"bartlett, nh",60,None,None
"will these rocks ever end?",6,None,None
"pearisburg-holy family catholic hostel",6,None,None
"little laura shelter",2,None,None
"waysborro",8,None,None
"somewhere on bear mtn",12,None,None
"holy family hostel, pearisburg",76,None,None
"copper brk falls",2,None,None
"damascus (apple tree b&b)",4,None,None
"spring, s. of rt 325.",8,None,None
"safford notch campground, me",27,None,None
"lunch at walkers gap",8,None,None
"east branch, me",8,None,None
"tenting out",2,None,None
"many journal updates from gypsy",2,None,None
"derrick knon shelter",2,None,None
"soloing in ny",1,None,None
"better campsite",24,None,None
"benedict pond, beartown sf, ma",106,None,None
"va 652",2,None,None
"campton, nh",2,None,None
"lead legs",2,None,None
"pine swap brook lean to",2,None,None
"rainbow lean-to",14,None,None
"lakes of the clouds amc hut",52,None,None
"grosclose, va (relax-inn)",6,None,None
"warner gap road",4,None,None
"duncannon/t.a.mary",6,None,None
"shenandoah campsite",4,None,None
"dalton ma",285,None,None
"carl a. newhall shelter",22,None,None
"tent at culver fire tower",14,None,None
"good times at the hard times",3,None,None
"ma-vt border",1,None,None
"middle of virginia",1,None,None
"boy scout camp",2,None,None
"watagua lake shelter",10,None,None
"mile 30.1",2,None,None
"elmer's",158,None,None
"river rd (tented)",14,None,None
"motel near hazleton, pa",4,None,None
"va 634",24,None,None
"ironmasters mansion ayh",25,None,None
"daleville rte 220",6,None,None
"pearlisburg",2,None,None
"ram let's rest",6,None,None
"bailey gap",538,37.40089,-80.57723
"bryson city nc",20,None,None
"one last update",1,None,None
"campsite near piscataquis river",2,None,None
"gite des monts albert",2,None,None
"va 42 crossing",6,None,None
"east b hill road (andover, me)",7,None,None
"stormville mtn.",18,None,None
"caughnawya shelter",4,None,None
"russel pond campground",3,None,None
"campsite at falls creek",4,None,None
"cortina inn, killington, vt",18,None,None
"madeleine centre",6,None,None
"ct route 241",1,None,None
"trent campground",9,None,None
"long house creek",16,None,None
"editors note",2,None,None
"camped past cold river road",1,None,None
"white house landing, pemadumcook lake",8,None,None
"south towards atlanta",40,None,None
"tellaco gap hostel",2,None,None
"past the midpoint marker",4,None,None
"symms gap gampsite",1,None,None
"wine sping",2,None,None
"some motel",12,None,None
"torrington, ct",2,None,None
"crosby knob",32,None,None
"gt. barrington, ma",12,None,None
"petites gap",57,None,None
"campsite (mile 395)",2,None,None
"griffith lake tenting area",114,None,None
"vt11/30 (red sled motel)",2,None,None
"hall mountain lean-to",225,44.70079,-70.82473
"port clinton (again)",3,None,None
"hawkmountain shelter",1,None,None
"north of skeenah gap (benton mackaye trail)",2,None,None
"david lesser shelter",221,39.22723,-77.77909
"salisbury cn",5,None,None
"straton, me",18,None,None
"elk river campsite",51,None,None
"catabwa shelter",10,None,None
"u.s. 21/52",4,None,None
"dismal falls, va",2,None,None
"road trip to ga",1,None,None
"east branch piscataquis river",24,None,None
"hensley hostel (pinefeild gap)",13,None,None
"crawford notch/amc lodge",6,None,None
"ny rt 17 harriman park entrance",1,None,None
"camping au soleil",8,None,None
"country inn and suites",8,None,None
"2 months into my time on the trail",3,None,None
"pine grove furnace state park",841,None,None
"hightower gap - 1 mile north",9,None,None
"presbyterian church of the mtn., del.water gap,pa",3,None,None
"west grove, pa.",2,None,None
"heading back south",2,None,None
"the lookout barn cabin",4,None,None
"consulation peak",14,None,None
"little rock knob",12,None,None
"tarp camp near beauty spot",6,None,None
"total miles from 2002, 2003",4,None,None
"stratton-white wolf inn room 10",2,None,None
"walasai-yi center, neels gap",4,None,None
"cap gaspe. quebec",2,None,None
"va. 615",20,None,None
"mountain moma’s",6,None,None
"2 zeros",1,None,None
"near wadleigh stream",16,None,None
"crickets, dogs, toads, & dinosaurs",6,None,None
"gatlinburg motel",6,None,None
"statton motel, me",6,None,None
"8 miles south of harpers ferry - trailside",2,None,None
"illness and elation",6,None,None
"dalohnega, ga",5,None,None
"campsite at stream before dennytown road",10,None,None
"sugarloaf/piazza rock",14,None,None
"nj rte 23",16,None,None
"neels gap / hostel at walasi-yi",5,None,None
"nahantala outdoor center",2,None,None
"st thomas episcopal church",38,None,None
"route 25a, orford, nh",5,None,None
"campsite - rainbow lake",3,None,None
"eta, ny",27,None,None
"route 2 n. adams - ma",3,None,None
"new hampshire 25",7,None,None
"bald mtn brook lt",40,None,None
"ny22, ny",77,None,None
"campsite on top of mt. everett",14,None,None
"usfs road below springer",4,None,None
"william brian shelter",17,None,None
"greymour spirtual center shelter",16,None,None
"hiawassee holiday inn",7,None,None
"maine route 27",4,None,None
"schoghticoke mountain",4,None,None
"hiawasee (spelling?) ga",1,None,None
"in the company of men",2,None,None
"tyringham, ma(fire pavillion)",2,None,None
"hertlein tent site",2,None,None
"back in gorham",2,None,None
"1 mile past skyline drive mp 92.4",4,None,None
"waynesboro in hotel",12,None,None
"co.hwy.20, pawling,ny",3,None,None
"ma 2, north adams",10,None,None
"mile 96.6",4,None,None
"camp k-20",2,None,None
"blue gap",3,None,None
"me hwy 4",49,None,None
"southward!",2,None,None
"poughkeepsi, ny (house)",6,None,None
"lemon gap",64,None,None
"white house landing camps",10,None,None
"two miles past prospect rock, new york",6,None,None
"shameless resume posting",2,None,None
"lazy fox b&b - damacus virginia",6,None,None
"chestnut ridge pond",8,None,None
"roan mountain state park",12,None,None
"mt willey new hampshire",62,None,None
"new bern, nc!",4,None,None
"bearfence mountain shelter",38,None,None
"erwin hotel",6,None,None
"whiskey spring + 1/2 mile (tenting)",12,None,None
"donnellytown, pa",1,None,None
"crampton's gap shelter, md",3,None,None
"the doyle (duncannon)",6,None,None
"johny down under's house",6,None,None
"sugarloaf mtn trail (3650')",18,None,None
"the inn at long trail on us4",3,None,None
"top floyd wayside, va",8,None,None
"near pa 325",15,None,None
"gale river trail, nh",25,None,None
"nakahmanta lake",2,None,None
"woodshole bunkhouse",8,None,None
"fox creek, va",6,None,None
"pearisburg/holy family hospice",2,None,None
"maine-nh line",2,None,None
"cloudland road - cloudland farm",24,None,None
"mountain in the mist",2,None,None
"concret dam tentsites",8,None,None
"cooper brook falls pond lean-to",22,None,None
"tyne road",4,None,None
"trailfest",8,None,None
"hoyt rd.- ct/ny border - then to the mannion's",4,None,None
"vandervender shelter",6,None,None
"green mountain house",12,None,None
"camp ken-etiwa-pec",64,None,None
"trolley stop",2,None,None
"big meadows resort, snp, va",1,None,None
"joe dodge lodge",90,None,None
"deer path hostel",2,None,None
".1 before gordan pond trail",6,None,None
"bartlett brook road (tented)",12,None,None
"grape hollow rd.",14,None,None
"mountain harbor b&b",4,None,None
"police station",15,None,None
"deer gap shelter",2,None,None
"the whites await",8,None,None
"knob maul branch shelter",2,None,None
".4 from keifer rd",6,None,None
"momentary disbelief",6,None,None
"mile 45.9",2,None,None
"mcaffee knob",6,None,None
"hampton, tenn.",1,None,None
"sugar loaf mountain",16,None,None
"thru-hikers hostel",1,None,None
"320+ miles",1,None,None
"happy easter!",3,None,None
"top of amicalola falls",2,None,None
"near rip rap mtn",6,None,None
"north rim-grand canyon of yellowstone n.p.",3,None,None
"woods on ridge above skyline dr., mm 93",2,None,None
"ocean city, md",16,None,None
"fox creek (flip-flop from damascus)",2,None,None
"hiawasse-mull's motel",2,None,None
"marble spring shelter",6,None,None
"sassafras gap shleter",4,None,None
"annapolis creek",8,None,None
"me 17 (oquossoc)",32,None,None
"moxie pond leanto",2,None,None
"surplus pond campsite 2,050",4,None,None
"rt 601",46,None,None
"robinson gap road",12,None,None
"sam gap",2,None,None
"dalesville",61,None,None
"us hwy 460",9,None,None
"rusty's hardtime hollow",22,None,None
"water’s house",2,None,None
"tricorner knob shelter",244,35.69376,-83.25653
"camden hills me",118,None,None
"more campsites, tn!",2,None,None
"welsh nomad's house",1,None,None
"4 miles past vandeveter shelter",2,None,None
"s.river picnic/pocosin cabin,va",8,None,None
"secret shelter @ jim murray's farm",4,None,None
"vt.-- 12",2,None,None
"finacial freedom",1,None,None
"still at moxie bald leanto",36,None,None
"the inn at long trail, vt",92,None,None
"derby day",1,None,None
"maine road house hostel",1,None,None
"full goose shelter",780,44.52515,-70.98088
"kincora, bob peoples",4,None,None
"cow pasture before mt. roger's",6,None,None
"pa16",10,None,None
"gulf stream bridge, vt",2,None,None
"namakanta lake",11,None,None
"secret campsite on stony mountain",21,None,None
"campsite 1,300",1,None,None
"post trail days",8,None,None
"hpt springs, n.c.",4,None,None
"front royal used books",20,None,None
"wantage, n.j.",6,None,None
"mispah hut",12,None,None
"apple orchard mountain",2,None,None
"daleville ho jo's",12,None,None
"phillipsburg",8,None,None
"hwy. 15",2,None,None
"sheandoah ny tenting area",14,None,None
"3rd mountain",8,None,None
"just swingin'",3,None,None
"va. 859 - camp",2,None,None
"campsite near rich mtn fire tower",2,None,None
"va rte 42",3,None,None
"fox creek & va. 603",26,None,None
"bourn pond",5,None,None
"denver and back",9,None,None
"anywhere",17,None,None
"atv trail in blanchard",1,None,None
"tent (virginia 620)",4,None,None
"cmp site",3,None,None
"pearisburg,va",149,None,None
"snagged by a tree",6,None,None
"palmerton superfund",12,None,None
"va 812 (usfs 36)",2,None,None
"coopers falls leanto",3,None,None
"cap centre de la madelaine",2,None,None
"indian grave cap",1,None,None
"fountainhead (brot)",1,None,None
"hanover (nh)",2,None,None
"fingreboard shelter",4,None,None
"last rest",1,None,None
"harpers ferry koa",12,None,None
"abol bridge-abol pines campground",174,None,None
"campsite near imp shelter",60,None,None
"hiawassee, ga mull's hotel",1,None,None
"hortontown road",32,None,None
"surplus pond, me",1,None,None
"route no 1",2,None,None
"damascus, virgina",3,None,None
"small town, va",2,None,None
"harpeth river ride",2,None,None
"wayah gap/nc1310",52,None,None
"helvey’s mill shelter",5,None,None
"laurl creek shelter",2,None,None
"strawberry top",2,None,None
"parking lot at rt 183",2,None,None
"bear mt lodge",2,None,None
"little gap area,pa(slatington)",64,None,None
"hurricane mt. shelter (va)",2,None,None
"zero in gorham/note from k'ache",4,None,None
"campsite at trail side",1,None,None
"dahlgren backpack site",14,None,None
"camped near pollack knob",12,None,None
"still in vernon...",1,None,None
"mp 563.9",2,None,None
"granite's uncle's cabin",4,None,None
"tentsite on waywayanda mtn",2,None,None
"ten mile river shelter",26,None,None
"me27 to little bigelow mountain",14,None,None
"richmond, in",2,None,None
"fire tower campsite",2,None,None
"wintturi shelter",661,43.66218,-72.62193
"trail progress",1,None,None
"rangeley, maine",85,None,None
"va 617 past groseclose",6,None,None
"fort franklin road",2,None,None
"max patch rd.",14,None,None
"rainbow springs lean-to,me.",222,None,None
"½ mile before angels rest",18,None,None
"glen brook lean-to",228,42.11102,-73.42725
"moose mountian shelter, nh",10,None,None
"low-gap shelter, ga",4,None,None
"little bald knob campsite",2,None,None
"duncannon (doyle)",8,None,None
"webster cliffs",212,None,None
"shenandoah campgrounds",30,None,None
"camp before wind gap",4,None,None
"27th birthday",1,None,None
"melville neuhelm shelter",4,None,None
"double gap shelter",1,None,None
"heading for hiawassee",1,None,None
"elizabeth furnace",8,None,None
"somewhere up in maine",4,None,None
"hump mtn.",2,None,None
"trail maintenance day",7,None,None
"john's creek valley rd. usfs 156",1,None,None
"mp 986.3",4,None,None
"tray mnt shelter",7,None,None
"jm shelter",2,None,None
"cloudland rd.",1,None,None
"crabtree meadows fireroad",9,None,None
"catfish fire tower",16,None,None
"lambert's meadow shelter 2080' 5:45am",2,None,None
"stillhouse branch, va",6,None,None
"hemlocks lean to",38,None,None
"pine island lake",8,None,None
"powerline before mt. wilcox south",10,None,None
"cold river - mossy area",24,None,None
"winchester, va",16,None,None
"canopus lake, ny",44,None,None
"dalton, ma - shamrock village inn",4,None,None
"inn at longtrail",5,None,None
"tray mt.shelter",2,None,None
"falls village (stealth camped hydroelectric plant)",14,None,None
"san jose, ca",2,None,None
"leave town",4,None,None
"beartown mountain road",12,None,None
"power plant at falls village",8,None,None
"stealth camp somewhere near the ny/nj state line",7,None,None
"ridge near dragon's tooth",6,None,None
"trail in georgia",4,None,None
"old liberty rd.",14,None,None
"caral a. newhall lean-to",66,None,None
"kid gore shelter",489,43.01406,-73.04294
"the woods ½ mile north of east mombasa road.",4,None,None
"new york city, usa",1,None,None
"secret shelter - nj",8,None,None
"inn 230, off the c&o towpath",12,None,None
"waterville road, tn",1,None,None
"campsite after va160",3,None,None
"the ats",1,None,None
"oly'sty pavillion",3,None,None
"chair back gap lean-to",85,None,None
"“501” shelter",2,None,None
"amc madison sping hut",12,None,None
"cheery gap shelter",2,None,None
"lee,ma",1,None,None
"us19, wesser, nc",2,None,None
"troutville va",35,None,None
"bald between jerrys cabin shelter/big butt mtn. :)",18,None,None
"spence shelter",2,None,None
"eugene, or",3,None,None
"1 mile north of thornton river trail",4,None,None
"flint mountain shelter",2,36.03486,-82.59664
"sidney tappan campground",46,None,None
"rainbow spring, me",4,None,None
"stone mountain",16,None,None
"shagiticoke campsite",4,None,None
"dahlonega, ga",25,None,None
"wet and tired",6,None,None
"woodstock, nh - carriage motel",4,None,None
"country squire motel",14,None,None
"brow fork gap shelter",8,None,None
"bald mtn. stream tentsite",12,None,None
"leroy a, smith shelter",1,None,None
"doc knob shelter",15,None,None
"etna-hanover center rd.",6,None,None
"stealth camp near griffith lake, vt",6,None,None
"martinsburg, va",6,None,None
"someplace in the woods",34,None,None
"goose creek lodge",1,None,None
"marar tote rd whitehouse",18,None,None
"brackett brook",64,None,None
"no water here folks campsite",2,None,None
"over mountain shelter",126,None,None
"gatlinburgh",5,None,None
"bemis range west peak",24,None,None
"mac's house",14,None,None
"trident tent site",6,None,None
"dalton, tent at tom levardi's",3,None,None
"another reunion pic",1,None,None
"palmerton epa superfund site",6,None,None
"campsite near big rock spring",2,None,None
"fat fest",1,None,None
"otisfield, me",8,None,None
"rocky bald",4,None,None
"north ridge of three ridges",4,None,None
"pleasant river-stealth camp",12,None,None
"campsite past prospect rock",2,None,None
"double sping gap shelter",1,None,None
"montclair glen lodge",24,None,None
"roan mtn., tn.",5,None,None
